Source.title,X2016.CiteScore,X2016.SJR,X2016.SNIP,Journal.Open.Access,bin,BinCiteScore,BinSJR,BinSNIP
Chinese Journal of Ecology,0.26,0.138,0.188,Closed,A,A,A,A
Chinese Journal of Applied Ecology,0.37,0.189,0.354,Closed,A,A,A,A
Current Science,0.64,0.285,0.689,Closed,A,A,A,A
International Journal of Climate Change Strategies and Management,0.68,0.296,0.788,Closed,A,A,A,A
Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering,1.15,0.372,0.864,Closed,A,A,A,A
Environmental Monitoring and Assessment,1.66,0.545,0.928,Closed,A,A,A,A
Water (Switzerland),2.05,0.548,1.079,DOAJ/ROAD Open Access,A,A,A,A
Environmental Earth Sciences,1.73,0.574,0.958,Closed,A,A,A,A
Natural Hazards,2.02,0.762,1.096,Closed,A,A,A,B
International Journal of Biometeorology,2.25,0.792,1.223,Closed,A,A,A,B
Canadian Journal of Forest Research,1.79,0.794,0.945,Closed,A,A,A,A
Environmental Management,2.05,0.794,0.996,Closed,A,A,A,A
International Journal of Remote Sensing,2,0.797,1.023,Closed,A,A,A,A
Climate and Development,1.69,0.805,0.792,Closed,A,A,A,A
Journal of Arid Environments,2.1,0.808,1.207,Closed,A,A,A,B
International Journal of Environmental Research and Public Health,2.38,0.82,1.044,DOAJ/ROAD Open Access,A,A,A,A
Climate Research,1.8,0.831,0.68,Closed,A,A,A,A
Polar Biology,1.72,0.866,0.761,Closed,A,A,A,A
Mitigation and Adaptation Strategies for Global Change,2.28,0.891,1.011,Closed,A,A,A,A
Hydrobiologia,2.27,0.895,1.091,Closed,A,A,A,A
Ecological Modelling,2.43,0.941,1.089,Closed,A,A,A,A
Journal of Paleolimnology,2.29,0.957,0.926,Closed,A,A,A,A
Hydrological Sciences Journal,2.05,0.966,1.094,Closed,A,A,A,B
"Estuarine, Coastal and Shelf Science",2.43,0.997,1.127,Closed,A,A,A,B
Holocene,2.14,1.066,0.786,Closed,A,A,A,A
Quaternary Research,2.28,1.073,0.986,Closed,A,A,A,A
Quaternary International,2.19,1.096,1.043,Closed,A,A,A,A
Regional Environmental Change,2.74,1.13,1.183,Closed,A,B,A,B
Journal of Environmental Management,4.28,1.141,1.779,Closed,A,C,A,C
Climate Policy,2.23,1.165,1.414,Closed,B,A,B,B
Catena,3.72,1.177,1.764,Closed,B,B,B,C
PLoS ONE,3.11,1.201,1.092,DOAJ/ROAD Open Access,B,B,B,A
Ambio,3.19,1.221,1.194,Closed,B,B,B,B
Plant and Soil,3.41,1.267,1.442,Closed,B,B,B,B
"Palaeogeography, Palaeoclimatology, Palaeoecology",2.65,1.303,1.114,Closed,B,B,B,B
Ecological Indicators,4.07,1.308,1.756,Closed,B,C,B,C
Remote Sensing,3.56,1.31,1.661,DOAJ/ROAD Open Access,B,B,B,C
Ecosphere,2.61,1.333,0.954,DOAJ/ROAD Open Access,B,B,B,A
Geomorphology,3.12,1.334,1.462,Closed,B,B,B,B
Journal of Quaternary Science,2.69,1.335,0.929,Closed,B,B,B,A
Deep-Sea Research Part II: Topical Studies in Oceanography,2.35,1.335,0.962,Closed,B,A,B,A
Water Resources Management,3.04,1.355,1.524,Closed,B,B,B,C
Tree Physiology,3.35,1.394,1.177,Closed,B,B,B,B
Hydrological Processes,2.92,1.446,1.237,Closed,B,B,B,B
Atmospheric Environment,4.01,1.466,1.593,Closed,B,C,B,C
Geoderma,4.14,1.551,1.866,Closed,B,C,B,D
Freshwater Biology,3.36,1.568,1.41,Closed,B,B,B,B
Atmospheric Research,3.93,1.568,1.657,Closed,B,C,B,C
Ecology and Evolution,2.86,1.579,1.048,DOAJ/ROAD Open Access,B,B,B,A
"Agriculture, Ecosystems and Environment",4.41,1.612,1.828,Closed,B,C,B,D
Forest Ecology and Management,3.61,1.615,1.555,Closed,B,B,B,C
Journal of Cleaner Production,5.83,1.615,2.382,Closed,B,D,B,D
Science of the Total Environment,5.09,1.621,1.849,Closed,B,D,B,D
Scientific Reports,4.63,1.625,1.401,DOAJ/ROAD Open Access,B,C,B,B
Environmental Science and Policy,3.9,1.656,1.605,Closed,B,C,B,C
