Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Waters, C.N., Zalasiewicz, J., Summerhayes, C., Barnosky, A.D., Poirier, C., Gałuszka, A., Cearreta, A., Edgeworth, M., Ellis, E.C., Ellis, M., Jeandel, C., Leinfelder, R., McNeill, J.R., Richter, D.De.B., Steffen, W., Syvitski, J., Vidas, D., Wagreich, M., Williams, M., Zhisheng, A., Grinevald, J., Odada, E., Oreskes, N., Wolfe, A.P.","The Anthropocene is functionally and stratigraphically distinct from the Holocene",2016,"Science","351","6269", aad2622,"","",,208,10.1126/science.aad2622,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955124949&doi=10.1126%2fscience.aad2622&partnerID=40&md5=dc2a32ef5059265d2b8b62e2b0f41493",Review,,Scopus,2-s2.0-84955124949
"Rogelj, J., Den Elzen, M., Höhne, N., Fransen, T., Fekete, H., Winkler, H., Schaeffer, R., Sha, F., Riahi, K., Meinshausen, M.","Paris Agreement climate proposals need a boost to keep warming well below 2 °c",2016,"Nature","534","7609",,"631","639",,197,10.1038/nature18307,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977119288&doi=10.1038%2fnature18307&partnerID=40&md5=731719d1b043d6c91c28af3d13b2a32c",Review,,Scopus,2-s2.0-84977119288
"Winemiller, K.O., McIntyre, P.B., Castello, L., Fluet-Chouinard, E., Giarrizzo, T., Nam, S., Baird, I.G., Darwall, W., Lujan, N.K., Harrison, I., Stiassny, M.L.J., Silvano, R.A.M., Fitzgerald, D.B., Pelicice, F.M., Agostinho, A.A., Gomes, L.C., Albert, J.S., Baran, E., Petrere, M., Zarfl, C., Mulligan, M., Sullivan, J.P., Arantes, C.C., Sousa, L.M., Koning, A.A., Hoeinghaus, D.J., Sabaj, M., Lundberg, J.G., Armbruster, J., Thieme, M.L., Petry, P., Zuanon, J., Torrente Vilara, G., Snoeks, J., Ou, C., Rainboth, W., Pavanelli, C.S., Akama, A., Van Soesbergen, A., Sáenz, L.","Balancing hydropower and biodiversity in the Amazon, Congo, and Mekong",2016,"Science","351","6269",,"128","129",,116,10.1126/science.aac7082,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955141437&doi=10.1126%2fscience.aac7082&partnerID=40&md5=2bdd9367b67e51ad6bd78c624c474e93",Review,,Scopus,2-s2.0-84955141437
"Smith, P., Davis, S.J., Creutzig, F., Fuss, S., Minx, J., Gabrielle, B., Kato, E., Jackson, R.B., Cowie, A., Kriegler, E., Van Vuuren, D.P., Rogelj, J., Ciais, P., Milne, J., Canadell, J.G., McCollum, D., Peters, G., Andrew, R., Krey, V., Shrestha, G., Friedlingstein, P., Gasser, T., Grübler, A., Heidug, W.K., Jonas, M., Jones, C.D., Kraxner, F., Littleton, E., Lowe, J., Moreira, J.R., Nakicenovic, N., Obersteiner, M., Patwardhan, A., Rogner, M., Rubin, E., Sharifi, A., Torvanger, A., Yamagata, Y., Edmonds, J., Yongsung, C.","Biophysical and economic limits to negative CO<inf>2</inf>emissions",2016,"Nature Climate Change","6","1",,"42","50",,116,10.1038/nclimate2870,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951335151&doi=10.1038%2fnclimate2870&partnerID=40&md5=3c2f8d252b773261a4238ab29f720a43",Review,,Scopus,2-s2.0-84951335151
"Paustian, K., Lehmann, J., Ogle, S., Reay, D., Robertson, G.P., Smith, P.","Climate-smart soils",2016,"Nature","532","7597",,"49","57",,112,10.1038/nature17174,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963615213&doi=10.1038%2fnature17174&partnerID=40&md5=2493ab43af690129b069e4f9b8fcaab0",Review,,Scopus,2-s2.0-84963615213
"Zhu, H., Luo, W., Ciesielski, P.N., Fang, Z., Zhu, J.Y., Henriksson, G., Himmel, M.E., Hu, L.","Wood-Derived Materials for Green Electronics, Biological Devices, and Energy Applications",2016,"Chemical Reviews","116","16",,"9305","9374",,92,10.1021/acs.chemrev.6b00225,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983666599&doi=10.1021%2facs.chemrev.6b00225&partnerID=40&md5=011c62b3d3017c262d06be522a178b26",Review,,Scopus,2-s2.0-84983666599
"Porosoff, M.D., Yan, B., Chen, J.G.","Catalytic reduction of CO<inf>2</inf>by H<inf>2</inf>for synthesis of CO, methanol and hydrocarbons: Challenges and opportunities",2016,"Energy and Environmental Science","9","1",,"62","73",,90,10.1039/c5ee02657a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953385292&doi=10.1039%2fc5ee02657a&partnerID=40&md5=aa215edbd395c35281316a982c8d0d68",Review,,Scopus,2-s2.0-84953385292
"Sanz-Pérez, E.S., Murdock, C.R., Didas, S.A., Jones, C.W.","Direct Capture of CO<inf>2</inf>from Ambient Air",2016,"Chemical Reviews","116","19",,"11840","11876",,81,10.1021/acs.chemrev.6b00173,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991738067&doi=10.1021%2facs.chemrev.6b00173&partnerID=40&md5=f110aff568985e8c1f3652826e46c00a",Review,,Scopus,2-s2.0-84991738067
"Zhu, D.D., Liu, J.L., Qiao, S.Z.","Recent Advances in Inorganic Heterogeneous Electrocatalysts for Reduction of Carbon Dioxide",2016,"Advanced Materials","28","18",,"3423","3452",,74,10.1002/adma.201504766,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978322304&doi=10.1002%2fadma.201504766&partnerID=40&md5=7ea492160e047c0dd9be260afb9a613a",Review,,Scopus,2-s2.0-84978322304
"Seneviratne, S.I., Donat, M.G., Pitman, A.J., Knutti, R., Wilby, R.L.","Allowable CO<inf>2</inf>emissions based on regional and impact-related climate targets",2016,"Nature","529","7587",,"477","483",,74,10.1038/nature16542,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956706313&doi=10.1038%2fnature16542&partnerID=40&md5=b267b61924f55ed0fb48141a5d76a06e",Review,,Scopus,2-s2.0-84956706313
