"Altmetric.Attention.Score","Title","Journal","Journal.ISSNs","Output.Type","Publication.Date","DOI","ISBN","News.mentions","Blog.mentions","Policy.mentions","Twitter.mentions","OA","year","SJR","SJRfac"
3389,"Climate change in the Fertile Crescent and implications of the recent Syrian drought","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2015-03-02","10.1073/pnas.1421533112",NA,267,115,13,2230,FALSE,2015,6.321,"D"
2209,"Analysis and valuation of the health and climate change cobenefits of dietary change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2016-03-21","10.1073/pnas.1523119113",NA,227,43,7,857,FALSE,2016,6.321,"D"
1692,"Greening of the Earth and its drivers","Nature Climate Change","1758-678X, 1758-6798","Article","2016-04-25","10.1038/nclimate3004",NA,132,23,0,1067,FALSE,2016,8.256,"D"
1679,"Future temperature in southwest Asia projected to exceed a threshold for human adaptability","Nature Climate Change","1758-678X, 1758-6798","Article","2015-10-26","10.1038/nclimate2833",NA,186,36,0,450,FALSE,2015,8.256,"D"
1628,"Climate change decouples drought from early wine grape harvests in France","Nature Climate Change","1758-678X, 1758-6798","Article","2016-03-21","10.1038/nclimate2960",NA,216,12,0,78,FALSE,2016,8.256,"D"
1600,"Accelerating extinction risk from climate change","Science","0036-8075, 1095-9203","Article","2015-05-01","10.1126/science.aaa4984",NA,86,27,2,1291,FALSE,2015,13.535,"D"
1541,"Expert credibility in climate change","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2010-06-21","10.1073/pnas.1003187107",NA,94,146,2,1337,FALSE,2010,6.321,"D"
1446,"The broad footprint of climate change from genes to biomes to people","Science","0036-8075, 1095-9203","Article","2016-11-11","10.1126/science.aaf7671",NA,99,20,1,1165,FALSE,2016,13.535,"D"
1417,"Consequences of twenty-first-century policy for multi-millennial climate and sea-level change","Nature Climate Change","1758-678X, 1758-6798","Article","2016-02-08","10.1038/nclimate2923",NA,142,36,3,640,FALSE,2016,8.256,"D"
1340,"Impact of anthropogenic climate change on wildfire across western US forests","Proceedings of the National Academy of Sciences of the United States of America","0027-8424, 1091-6490","Article","2016-10-10","10.1073/pnas.1607171113",NA,151,34,1,531,FALSE,2016,6.321,"D"
1299,"Anthropogenic contribution to global occurrence of heavy-precipitation and high-temperature extremes","Nature Climate Change","1758-678X, 1758-6798","Article","2015-04-27","10.1038/nclimate2617",NA,141,26,4,248,FALSE,2015,8.256,"D"
1292,"Hidden Benefits of Electric Vehicles for Addressing Climate Change","Scientific Reports","2045-2322","Article","2015-03-19","10.1038/srep09213",NA,12,8,0,126,TRUE,2015,1.625,"B"
1243,"Climate change: The 2015 Paris Agreement thresholds and Mediterranean basin ecosystems","Science","0036-8075, 1095-9203","Article","2016-10-28","10.1126/science.aah5015",NA,139,16,0,250,FALSE,2016,13.535,"D"
1154,"Evidence for climate change in the satellite cloud record","Nature","0028-0836, 1476-4687","Article","2016-07-11","10.1038/nature18273",NA,133,19,1,252,FALSE,2016,18.134,"D"
1122,"Exceptional twentieth-century slowdown in Atlantic Ocean overturning circulation","Nature Climate Change","1758-678X, 1758-6798","Article","2015-03-23","10.1038/nclimate2554",NA,115,53,2,387,FALSE,2015,8.256,"D"
1089,"Increasing frequency of extreme El Nino events due to greenhouse warming","Nature Climate Change","1758-678X, 1758-6798","Article","2014-01-19","10.1038/nclimate2100",NA,147,51,4,278,FALSE,2014,8.256,"D"
1074,"The polarizing impact of science literacy and numeracy on perceived climate change risks","Nature Climate Change","1758-678X, 1758-6798","Article","2012-05-27","10.1038/nclimate1547",NA,58,75,5,555,FALSE,2012,8.256,"D"
1058,"US power plant carbon standards and clean air and health co-benefits","Nature Climate Change","1758-678X, 1758-6798","Article","2015-05-04","10.1038/nclimate2598",NA,19,16,0,1897,FALSE,2015,8.256,"D"
1051,"Millions projected to be at risk from sea-level rise in the continental United States","Nature Climate Change","1758-678X, 1758-6798","Article","2016-03-14","10.1038/nclimate2961",NA,139,19,2,107,FALSE,2016,8.256,"D"
1039,"Assessing “Dangerous Climate Change”: Required Reduction of Carbon Emissions to Protect Young People, Future Generations and Nature","PLoS ONE","1932-6203","Article","2013-12-03","10.1371/journal.pone.0081648",NA,65,47,0,779,TRUE,2013,1.201,"B"
988,"The Impact of Climate Change on Indigenous Arabica Coffee (Coffea arabica): Predicting Future Trends and Identifying Priorities","PLoS ONE","1932-6203","Article","2012-11-07","10.1371/journal.pone.0047981",NA,89,17,0,278,TRUE,2012,1.201,"B"
977,"Industrial-era global ocean heat uptake doubles in recent decades","Nature Climate Change","1758-678X, 1758-6798","Article","2016-01-18","10.1038/nclimate2915",NA,106,31,0,259,FALSE,2016,8.256,"D"
946,"Transatlantic flight times and climate change","Environmental Research Letters","1748-9326","Article","2016-02-10","10.1088/1748-9326/11/2/024008",NA,110,10,0,225,TRUE,2016,2.628,"C"
918,"Nonlinear response of mid-latitude weather to the changing Arctic","Nature Climate Change","1758-678X, 1758-6798","Article","2016-10-26","10.1038/nclimate3121",NA,112,5,0,97,FALSE,2016,8.256,"D"
842,"Future cost-competitive electricity systems and their impact on US CO2 emissions","Nature Climate Change","1758-678X, 1758-6798","Article","2016-01-25","10.1038/nclimate2921",NA,53,33,0,486,FALSE,2016,8.256,"D"
